catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Cameroon,Member of the Senate of Cameroon,Zacharie Awanga,Q111355913,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Marcel Niat Njifenji,Q13468200,2013-10-29,2018-03-24,male,1934-10-26,,Marcel Niat Njifenji Senateur.jpg,Marcel Niat Njifenji
Cameroon,Member of the Senate of Cameroon,Ibrahim Mbombo Njoya,Q15819842,2013-10-29,2018-03-24,male,1937-10-27,2021-09-27,KdfsultanNjoya.JPG,Ibrahim Mbombo Njoya
Cameroon,Member of the Senate of Cameroon,Jean-Baptiste Baskouda,Q16188827,2013-10-29,2018-03-24,male,1957-08-24,,,Jean-Baptiste Baskouda
Cameroon,Member of the Senate of Cameroon,Francis Nkwain,Q18563874,2013-10-29,2018-03-24,male,1930-04-19,2014-10-19,,Francis Nkwain
Cameroon,Member of the Senate of Cameroon,Luc Réné Bell,Q24951660,2013-10-29,2018-03-24,male,1948-01-29,,,
Cameroon,Member of the Senate of Cameroon,Victor Mukete,Q27755043,2013-10-29,2018-03-24,male,1918-11-15,2021-04-10,,Victor Mukete
Cameroon,Member of the Senate of Cameroon,Amadou Ali,Q2840847,2013-10-29,2018-03-24,male,1943,,Amadou ali.jpg,Amadou Ali
Cameroon,Member of the Senate of Cameroon,Mahamat Abdoulkarim,Q28497636,2013-10-29,2018-03-24,male,1949,,,
Cameroon,Member of the Senate of Cameroon,Charles Salé,Q28655053,2013-10-29,2018-03-24,male,1952-04-15,,Charles Salé 2.jpg,
Cameroon,Member of the Senate of Cameroon,Simon Achidi,Q324886,2013-10-29,2018-03-24,male,1934-11-05,2021-05-04,Simon Achidi Achu (cropped).jpg,Simon Achidi Achu
Cameroon,Member of the Senate of Cameroon,Geneviève Tjoues,Q39145253,2013-10-29,2018-03-24,female,1944-01-31,,GenevieveTjoues2.jpg,Geneviève Tjoues
Cameroon,Member of the Senate of Cameroon,Madeleine Haoua,Q39156067,2013-10-29,2018-03-24,female,1971-03-20,,,Madeleine Haoua
Cameroon,Member of the Senate of Cameroon,Isabelle Tokpanou,Q41671751,2013-10-29,2018-03-24,female,1936-11-27,,,Isabelle Tokpanou
Cameroon,Member of the Senate of Cameroon,Monique Ouli Ndongo,Q43457076,2013-10-29,2018-03-24,female,1958,,,
Cameroon,Member of the Senate of Cameroon,Delphine Medjo,Q43458360,2013-10-29,2018-03-24,female,1941-03-09,2016-09-22,,
Cameroon,Member of the Senate of Cameroon,Thérèse Eloumba Medjo,Q43459010,2013-10-29,2018-03-24,female,1956-02-06,,,
Cameroon,Member of the Senate of Cameroon,Marlyse Aboui,Q43460532,2013-10-29,2018-03-24,female,1973,,,
Cameroon,Member of the Senate of Cameroon,Dakolé Daïssala,Q5209975,2013-10-29,2018-03-24,male,1943-04-15,,,Dakolé Daïssala
Cameroon,Member of the Senate of Cameroon,Peter Mafany Musonge,Q708023,2013-10-29,2018-03-24,male,1942-12-03,,Peter Mafany Musongue 2017 (cropped).jpg,Peter Mafany Musonge
Cameroon,Member of the Senate of Cameroon,Aboubakary Abdoulaye,Q95725544,2013-10-29,2018-03-24,male,,,,
Cameroon,Member of the Senate of Cameroon,Roger Mbassa Ndine,Q97162227,2013-10-29,2018-03-24,male,1954-10-22,,,
Cameroon,Member of the Senate of Cameroon,Youssoufa Daoua,Q98165743,2013-10-29,2018-03-24,male,1948,2015-10-11,IMG-20191120-WA0013.jpg,
Cameroon,Member of the Senate of Cameroon,Agnès Ndode Ntube,Q111355836,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Andrew Moffa Otte,Q111355838,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Benjamin Amama Amama,Q111355841,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Calvin Zang Oyono,Q111355844,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Charles Mbella Moki,Q111355845,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,David Etame Massoma,Q111355849,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,François Xavier Menye Ondo,Q111355856,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Grégoire Mba Mba,Q111355859,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Jean Mboundjo,Q111355862,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Jean-Marie Mama,Q111355865,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Jean-Marie Pongmoni,Q111355866,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Laurent Nkodo,Q111355871,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Manouf Mahamat Bhar,Q111355873,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Marava Abdoulaye Wouyack,Q111355874,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Marie Armande Din Bell,Q111355875,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Marie-Claire Moampea,Q111355876,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Maurice Amidou,Q111355878,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Mbita Mvaebeme,Q111355879,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Mohama Gabdo,Q111355880,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Moussa Sambo,Q111355881,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Pascal Anong Adibime,Q111355883,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Paulette Bisseck,Q111355887,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Payounni Bebnone,Q111355888,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Pierre Henri Ngallé Ngoa,Q111355889,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Pierre Namio,Q111355891,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Pierre Ngayap,Q111355892,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Pierrette Hayatou,Q111355893,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Rebecca Amah Ankie Affiong,Q111355897,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,René Ze Nguelle,Q111355898,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Samuel Obam Assam,Q111355899,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Simon Kingue,Q111355900,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Simon Onjwo Chief An Jan,Q111355901,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Songue Madiba,Q111355903,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Sylvestre Naah Ondoua,Q111355905,2018-03-25,,,,,,
