catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Afghanistan,Minister of Defence,Obaidullah Akhund,Q764159,1997-04,2001-09-09,male,1968,2010-03-05,,Obaidullah Akhund
Afghanistan,Minister of Defence,Abdul Rahim Wardak,Q317373,2004-12-23,2012-08-07,male,1940,,Abdul Rahim Wardak.jpg,Abdul Rahim Wardak
Afghanistan,Minister of Defence,Bismillah Khan Mohammadi,Q866594,2012-09-15,2015-05-24,male,1961,,Bismillah Khan Mohammadi of Afghanistan in May 2011-cropped.jpg,Bismillah Khan Mohammadi
Afghanistan,Minister of Defence,Abdullah Habibi,Q29564249,2016,2017,male,1952,,,Abdullah Habibi
Afghanistan,Minister of Defence,Tariq Shah Bahrami,Q105753084,2017-04-24,2018-12-23,male,,,Tariq Shah Bahrami (cropped).jpg,Tariq Shah Bahramee
Afghanistan,Minister of Defence,Asadullah Khalid,Q500500,2018-12-23,2021-03-19,male,1970-06,,Asadullah Khalid in June 2011-cropped.jpg,Asadullah Khalid
Afghanistan,Minister of Defence,Bismillah Khan Mohammadi,Q866594,2021-06-19,2021-08-15,male,1961,,Bismillah Khan Mohammadi of Afghanistan in May 2011-cropped.jpg,Bismillah Khan Mohammadi
Afghanistan,Minister of Defence,Abdul Qayyum Zakir,Q4665997,2021-08-24,2021-09-07,male,1973,,,Abdul Qayyum Zakir
Afghanistan,Minister of Defence,Mohammad Yaqoob,Q24572400,2021-09-07,,male,1990,,Mullah Yaqoob in January 2022.png,Mullah Yaqoob
Afghanistan,Minister of Economy,Abdul Hadi Arghandiwal,Q4665350,2010-01-16,2014-12-09,male,1952,,Abdul Hadi Arghandiwal Cropped.jpg,Abdul Hadi Arghandiwal
Afghanistan,Minister of Economy,Din Mohammad Hanif,Q108130732,2021-09-07,,male,1955,,,Din Mohammad Hanif
Afghanistan,Minister of Finance,Hedayat Amin Arsala,Q3129316,2001-12,2002-06,male,1942-01-12,,Hedayat Amin Arsala speaking in July 2011-cropped.jpg,Hedayat Amin Arsala
Afghanistan,Minister of Finance,Ashraf Ghani,Q172388,2002-06-02,2004-12-14,male,1949-05-19,,Aschraf Ghani MSC 2017 2 (cropped).jpg,Ashraf Ghani
Afghanistan,Minister of Finance,Anwar ul-Haq Ahady,Q3270084,2004-12,2009-02,male,1951-08-12,,Anwarul Haq Ahadi.JPG,Anwar ul-Haq Ahady
Afghanistan,Minister of Finance,Omar Zakhilwal,Q7089863,2009-02,2015-02,male,1968,,Omar Zakhilwal.jpg,Omar Zakhilwal
Afghanistan,Minister of Finance,Eklil Ahmad Hakimi,Q16204351,2015-02,2018-03,male,1968,,Eklil Ahmad Hakimi.png,Eklil Ahmad Hakimi
Afghanistan,Minister of Finance,Mohammad Qayoumi,Q6892292,2018-04,2020-03,male,1952-12-14,,President-qayoumi-inauguration-2-1.jpg,Mohammad Qayoumi
Afghanistan,Minister of Finance,Abdul Hadi Arghandiwal,Q4665350,2020-03,2021-01,male,1952,,Abdul Hadi Arghandiwal Cropped.jpg,Abdul Hadi Arghandiwal
Afghanistan,Minister of Finance,Mohammad Khalid Payenda,Q108096763,2021-01,2021-08,male,,,Khalid Payenda (cropped).jpg,Khalid Payenda
Afghanistan,Minister of Finance,Gul Agha Ishakzai,Q21662937,2021-08-24,,male,1972,,,Gul Agha Ishakzai
Afghanistan,Minister of Foreign Affairs,Sher Mohammad Abbas Stanikzai,Q56292468,1996,2001,male,1963,,Sher Mohammad Abbas Stanikzai (cropped).jpg,Sher Mohammad Abbas Stanikzai
Afghanistan,Minister of Foreign Affairs,Wakil Ahmed Muttawakil,Q2982411,1999-10-27,2001-10,male,1971,,,Wakil Ahmed Muttawakil
Afghanistan,Minister of Foreign Affairs,Abdullah Abdullah,Q317556,2001-12-22,2006-03-21,male,1960-09-05,,Abdullah Abdullah December 2014.jpg,Abdullah Abdullah
